Entity,Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,AFG,-0.00820395257853783,-0.002642821789618749,-0.006810129035957069,-0.0015400960127844587,-0.006054533447157298,-0.00758426714400684,0.0013493130075290377,-0.0034328144820386514,-0.000287691615970212,-0.0018626930917727963,0.00035760791212605114,-0.0016904763864360808,-0.0034109713411762804,-0.002256003181340907,-0.004421596951423135,0.00381262946321248,-0.005094393609548942,-0.003703179929792133,-0.0035865516912113593,-0.004176960668448776,0.003946646925091779,0.002817746871911664,0.0019843677694002526,-0.17782108776319788,-0.147839512617791,-0.11320041083136134,-0.10148282165331024
Albania,ALB,-0.13938111641142137,-0.8933226633267772,-0.28687180951211777,-0.83362470347358,-0.8837509604260323,-1.7913122759517983,-2.2602553631960554,-2.2740858390486034,-3.312381226320653,-3.185917799006572,-2.9078186336597422,-2.9552949699706286,-2.533876834735368,-3.0899960016738963,-3.4020449850128958,-3.5985770917600512,-3.577942311199735,-4.0041987918255195,-3.039107798167562,-2.802386697110646,-3.3863429307996427,-4.454356496265483,-4.548512053591122,-4.267977351571139,-4.068344503784252,-3.217239676955243,-3.2135877109323934
Algeria,DZA,0.0010902449053107333,-0.28300007989647025,-0.16133302325773968,-0.156551037805154,-0.29636412473737783,-0.321298649615823,-0.284837504990342,-0.3162196489453173,-0.3893793960546139,-0.7849426258314836,-0.8582801205083523,-0.7609974770269692,-0.940457851661419,-0.975939296214209,-0.788953921158658,-1.25624885308335,-1.2987571787628442,-1.260202707655465,-1.2540087663071326,-1.5321901664635469,-1.853185850019277,-1.739186723041811,-1.5738749084471455,-1.6088954391464818,-1.428336035723654,-1.4675241918440083,-1.4386419843493496
Angola,AGO,-0.07301444897221465,-0.11291428603670894,-0.23895873926434064,1.0425837534033828,3.307095928142238,1.2009032569962255,4.536312146548612,2.28542723088057,1.14616883627955,0.5556697189452446,1.553459886583564,0.294380834783583,-0.5345857921867694,0.5423716319665708,-0.23752595963765977,-1.4493294134867476,-2.4090083309030366,-5.445672902066111,-8.753087963463065,-7.462931218520671,-8.162167764340666,-2.5714356753994743,-2.0574521797579095,-0.3643035072531049,-0.5672048074445097,-1.4693975105835158,-1.4177422936515764
Antigua and Barbuda,ATG,-21.51729534699372,-15.068920764063392,-14.76484213971391,-17.23630086856805,-13.324918244542932,-19.56056892661609,-22.871012847148634,-19.948333681343815,-15.790293541252968,-19.885778330701584,-21.82000515929586,-18.46584736821218,-18.83158625609348,-20.592399983748592,-16.167571701637605,-27.611603443557584,-27.982892810855784,-20.090255314595417,12.531335284159262,-1.546784634239387,-19.3781550805447,-19.709072711010712,-19.17132640519666,-20.85782467966358,-21.83395637214928,-20.424923128697593,-20.395360125315683
Argentina,ARG,20.744082868169524,23.47381882832606,24.534457565288747,26.71791155157661,20.473740409875024,19.3573581329879,16.306784221028064,14.797627786246247,17.717836980745236,16.450177709897147,17.62277282264891,17.127638949909564,20.694753630575406,17.508553457130844,16.998542687392824,15.160765037659154,13.974528478530878,13.176687891210992,11.815659711787447,13.487331413362936,13.523104557098733,11.633620700609626,11.236892386317928,11.665444176350967,11.409358875583065,11.576197019331772,11.52711129147751
Armenia,ARM,-0.14392790331092364,-0.373738243947321,-0.13462816092807656,-0.11373755758875664,-0.20185350789178402,-0.1407669108686881,-0.4184095329639145,-0.4782428755556275,-0.5852744567634877,-0.2413124191980457,-0.1428745387235124,-2.0650834199856307,-0.9573101991544194,-0.6658828881942638,-1.2574520220563814,-1.4147806865861963,-0.7026145735729081,-0.8446268969952109,-0.1575244705898453,1.116272700070076,0.8556346173304918,1.2659806887564917,0.2001097499447546,-0.17085817974165707,0.17913970240930333,0.6313844753484448,0.6298443111369698
Australia,AUS,-8.401720289524809,-6.3942043047733055,-8.73465503819648,-8.599232962580686,-8.475364687749039,-8.64353764491658,-10.265220083080113,-9.762643779096026,-11.037414825050085,-12.279275331530389,-14.29627497772,-12.231512047412869,-14.271223836819194,-15.13464880176735,-15.795714340237136,-15.06448582722382,-16.47257382536357,-16.27607920598184,-16.191455099993178,-16.588932519058716,-16.464613274144767,-15.260400016736265,-15.322826528999038,-15.748259947850809,-15.570333253956058,-14.562067935363084,-14.366092739044685
Austria,AUT,-11.684373795691343,-8.32368485094264,-10.381683576047386,-10.235828762063852,-10.313289360885207,-10.354562877835523,-9.210900559011941,-10.610800126984648,-10.055078057786305,-10.748442513902868,-11.825646317000784,-13.320803563426063,-13.14921460682291,-15.061866189543048,-14.343456282792179,-13.52962030956713,-13.308749903040338,-13.932784097397057,-13.383194924236664,-13.456718373365822,-13.692468130403899,-13.654603256312878,-13.641679583022047,-13.661529574997898,-13.689128504325211,-13.97203502039495,-13.934385974312109
Azerbaijan,AZE,0.33437230970400966,0.07347465700445222,-0.029185612301930952,0.032083374381103424,-0.3935047078943328,0.0691403945855007,-0.2502429280498335,-0.3107216955248422,-0.673873262325428,-0.5642573973564522,-0.451015128495708,-0.7547443356847214,-1.225090132354231,-1.2629015404367945,-1.8588604257547856,-1.9037586981053987,-1.9671322983255441,-1.9693009536058712,-2.163484564059365,-2.5821608525313655,-1.7643659068996222,-1.2210599177415156,-2.002186047477523,-2.964479390262658,-1.7928233042780028,-1.863833680886438,-1.8549983682035363
