Entity,Code,Year,Aquaculture_production
Tuvalu,TUV,2020,1.0
Uganda,UGA,2020,123897.0
Ukraine,UKR,2020,18567.8
United Arab Emirates,ARE,2020,3047.78
United Kingdom,GBR,2020,216838.2
United States,USA,2020,448534.62
United States Virgin Islands,VIR,2020,8.0
Uruguay,URY,2020,103.0
Uzbekistan,UZB,2020,98003.0
Vanuatu,VUT,2020,3.08
Venezuela,VEN,2020,40261.0
Vietnam,VNM,2020,4681435.0
Yemen,YEM,2020,10.0
Zambia,ZMB,2020,45670.0
Zimbabwe,ZWE,2020,21276.34
