Entity,Code,Year,Aquaculture production (metric tons),Capture fisheries production (metric tons),Total_Production,Aquaculture_Percentage,Fisheries_Percentage
World,OWID_WRL,2010,77996350,88085540,166081890.0,46,54
World,OWID_WRL,2011,81630740,92559410,174190150.0,46,54
World,OWID_WRL,2012,88191624,89684200,177875824.0,49,51
World,OWID_WRL,2013,94962620,90873390,185836010.0,51,49
World,OWID_WRL,2014,99634670,91426520,191061190.0,52,48
World,OWID_WRL,2015,104007704,92557880,196565584.0,52,48
World,OWID_WRL,2016,108221220,90549720,198770940.0,54,46
World,OWID_WRL,2017,112240376,94223840,206464216.0,54,46
World,OWID_WRL,2018,115924360,96989160,212913520.0,54,46
World,OWID_WRL,2019,119808720,93028320,212837040.0,56,44
World,OWID_WRL,2020,122711690,90592250,213303940.0,57,43
