Entity,Code,Year,production_per_capita_kg,consumption_per_capita_kg,overfishing_per_capita_kg
Spain,ESP,2020,24.912812601445623,40.22,-15.307187398554372
Sri Lanka,LKA,2020,23.919626650471745,29.290007,-5.370380349528254
Sudan,SDN,2020,1.0861472265512686,1.1400001,-0.0538528734487313
Suriname,SUR,2020,61.340275214674634,17.270058,44.070217214674635
Sweden,SWE,2020,18.915013792197556,31.160006,-12.244992207802444
Switzerland,CHE,2020,0.3969640008045754,16.020002,-15.623037999195429
Syria,SYR,2020,0.301195832969903,1.8399998,-1.538803967030097
Taiwan,TWN,2020,43.98638238026054,29.760004,14.226378380260538
Tajikistan,TJK,2020,0.2512998355781076,0.6499999,-0.3987000644218924
Tanzania,TZA,2020,8.555290087460472,6.91,1.645290087460472
Thailand,THA,2020,34.98992287764447,28.709995,6.279927877644468
Togo,TGO,2020,3.060075052002821,9.159997,-6.09992194799718
Trinidad and Tobago,TTO,2020,8.804707007169354,18.490097,-9.685389992830643
Tunisia,TUN,2020,10.916933924990175,13.24,-2.323066075009825
Turkey,TUR,2020,9.695012263146277,5.52,4.175012263146277
Turkmenistan,TKM,2020,2.171249576433669,2.539999,-0.3687494235663311
Uganda,UGA,2020,15.884284437582808,14.77,1.114284437582807
Ukraine,UKR,2020,2.239927928394106,13.680003,-11.440075071605891
United Arab Emirates,ARE,2020,8.066864164781629,26.480011,-18.41314683521837
United Kingdom,GBR,2020,12.572778242501396,18.13,-5.5572217574986045
United States of America,USA,2020,15.586259421385094,22.429998,-6.843738578614907
Upper-middle-income countries,,2020,35.46571434835587,29.913961,5.5517533483558665
Uruguay,URY,2020,20.03844109107267,9.220009,10.81843209107267
Uzbekistan,UZB,2020,3.624088960843999,4.03,-0.4059110391560008
Vanuatu,VUT,2020,149.4305178205763,30.879602,118.55091582057632
Venezuela,VEN,2020,10.600800630626876,10.179997,0.4208036306268745
Vietnam,VNM,2020,80.25443030752413,39.84,40.41443030752413
World,OWID_WRL,2020,22.375335523021324,20.20232,2.1730155230213235
Yemen,YEM,2020,3.633886250809052,2.6000004,1.0338858508090525
Zambia,ZMB,2020,7.132440457842445,12.690002,-5.557561542157555
Zimbabwe,ZWE,2020,1.8825407898865505,1.9800009,-0.0974601101134498
